Craig Yacks,1,1994-1997, Yale Bulldogs (College)
Brent Whitfield,1,1999-2003, Fullerton Titans (College)
Mark Santel,6,1987-1990, Saint Louis Billikens (College)
Duilio Davino,1
Julio Santos,3
Stephen Shirley,1
James Holmes,1
Chase Wileman,2,2003-2006, SMU Mustangs (College)
Damian Silvera,2,1992-1995, Virginia (College)
Wade Webber,3,1985-1988, University of Portland (College)
Christopher Ritter,2
Hernan Grana,1
Diego Saric,1
Paulo Renato,1
Collin Samuel,2
Alen Stevanovic,1,2009, Inter Milan (Not a college)
Miguel Comminges,1
Aitor Karanka,1,1991-1992, Athletic Bilbao (Not a college)
Brandon Manzonelli,1,2006-2008, Villarreal (Not a college)
Sergio Campbell,1,2012-2014, Connecticut Huskies (College)
Gonzalo Martinez,1
DeAndre Yedlin,2,2011-2012, Akron Zips (College)
Don Gramenz,1,1990-1993, University of Wisconsin–Milwaukee (College)
John Gilkerson,1,2004-2007, Winthrop Eagles (College)
Jay Ayres,1,2004-2007, Belmont Bruins (College)
Chad Barrett,11,2003-2004, UCLA Bruins (College)
David Villa,1,1999-2000, Sporting Gijón (Not a college)
Daniel Paladini,6,2002-2005, Northridge Matadors (College)
Alberto Naveda,2
Shawn Sloan,1
Gabe Eastman,2,1993-1996, MJC Pirates (College)
Laurent Robert,1
Peguy Luyindula,3
Bjorn Runstrom,1,1996-2000, Hammarby IF (Not a college)
Scott Palguta,4,2001-2004, Cornell Big Red (College)
Vitalis Takawira,4
Michael Emenalo,2
Kerry Zavagnin,11,1992-95, North Carolina (College)
Hristo Stoichkov,4,1976-1982, Maritsa Plovdiv (Not a college)
Duncan Oughton,10,1997-2000, Cal State Fullerton Titans (College)
Michael Gavin,1
Otto Loewy,1,2005-2008, Winthrop Eagles (College)
Hector Castro,1,1921-1924, Athletic Club Lito (No Wikipedia link)
Casey Schmidt,1
Arley Palacios,2
Steven Lenhart,8,2005-2007, Azusa Pacific Cougars (College)
Israel Sesay,2,2006-2008, IMG Soccer Academy (Not a college)
Paulinho McLaren,1
Chris Hegngi,1
Alec Cochran,2
Rodolfo Espinoza,1
Mark Lisi,6,1997-2000, Clemson Tigers (College)
Matias Jara,1,, C.A.I. (Not a college)
Peter Canero,1
Myung-Bo Hong,2,1987-1990, Korea University (College)
Nick Walls,1
Adolfo Bautista,1
Claudio Vaz Leal,1
Nicholas Walker,1
Jason Bent,3,1996, Maryland Terrapins (College)
Jermaine Jones,2,1995-1999, Eintracht Frankfurt (Not a college)
Ante Jazic,8,1996, Dalhousie Tigers (College)
Luis Escalada,1
Obi Monome,1
Tim Regan,6,1999-2002, Bradley (College)
Kirk Urso,1,2008-2011, North Carolina Tar Heels (College)
Cristhian Hernandez,3,2010-2011, Players Development Academy (No Wikipedia link)
Stephen deRoux,3,2002-2004, Prince George's Owls (College)
Ernst Oebster,1
Darwin Cerén,1
Jose Martin,1
A.J. DeLaGarza,7
Michael Banner,5
Thomas Thompson,7
Jeferson Rodrigues,1
Raul Palacios,1,, Colo-Colo (Not a college)
Nana Attakora,7,2004-2006, NTC Ontario (No Wikipedia link)
Dominic Kinnear,5,1985, Hartwick Hawks (College)
Alexi Lalas,7,1988-1991, Rutgers (College)
Rachid El Khalifi,1
Andrew Farrell,3
Andy Metcalf,1
Sean Henderson,3,1990-1993, UCLA Bruins (College)
Lesly Fellinga,1,, Groningen (Not a college)
Damion Lowe,2,2011-2013, Hartford Hawks (College)
Michael Nugent,2
Alan Woods,2
Paul Caligiuri,6,1982-1985, UCLA Bruins (College)
Kianz Froese,2,2012-2014, Whitecaps FC Residency (Not a college)
Hogan Ephraim,1,, West Ham United (Not a college)
Douglas Lascody,1
Kilian Elkinson,1,2005-2007, Upper Canada College (College)
Don Anding,1,2009-2012, Northeastern Huskies (College)
Robert Scarlett,1,1991-1997, Harbourview (Not a college)
Axel Sjöberg,1,2011-2014, Marquette Golden Eagles (College)
Phanuel Kavita,1,2011-2014, Clemson Tigers (College)
Percy Olivares,1
Keith Savage,1,2003-2007, West Florida Argonauts (College)
Gary Glasgow,3
Stephen Herdsman,5
Davide Somma,2,2004, Logroñés (Not a college)
Marco Dos Santos,1
Kraig Chiles,1,2003-2007, San Diego State Aztecs (College)
Marcus Tracy,2,2005-2008, Wake Forest Demon Deacons (College)
James Georgeff,1
Harrison Henao,1,2006-2007, Deportivo Rionegro (Not a college)
Ross Schunk,2,2005-2008, Redlands Bulldogs (College)
Andy Dorman,7,2000-2003, Boston University Terriers (College)
Jeff Agoos,10,1986-1990, University of Virginia (College)
Rolando Escobar,1
Tommy Krizanovic,1,2003-2006, Jacksonville Dolphins (College)
Jose de Abreu Oliveira,1,, Flamengo (Not a college)
Max Wasserman,1
Scott Lorenz,1,2005-2009, Wisconsin Badgers (College)
Florent Sinama-Pongolle,1,1995-2001, Le Havre (Not a college)
Darren Mattocks,4,2010-2011, Akron Zips (College)
Ricardo Phillips,1,, Atletico San Joaquin
Rodrigo Brasesco,1
Daniel Woolard,6,2003-2006, Midwestern State Mustangs (College)
Deybi Flores,1
Diego Gutierrez,13
Pablo Mastroeni,16,1994-1997, North Carolina State Wolfpack (College)
Michael Green,3
Joe Franchino,11,1996-1997, Washington Huskies (College)
Martin Morales,1
Ruben Luna,3,2009-2010, FC Dallas (Not a college)
Erik Palmer-Brown,3,2009-2013, Sporting Kansas City (Not a college)
Lucio Filomeno,2,1988-1994, Nueva Chicago (No Wikipedia link)
Konrad Warzycha,3,2007-2010, Ohio State Buckeyes (College)
Greg Simmonds,1,1995-1998, Howard University (College)
Stephen Keel,9,2001-2004, Wake Forest Demon Deacons (College)
Luke Kreamalmeyer,1,2001-2004, Bradley Braves (College)
Gerardo Laterza,1,1992, SMU Mustangs (College)
Craig Waibel,11,1995-1998, Washington Huskies (College)
Steve Bell,1
Ricardo Alves Pereira,2,2001-2003, PSTC-PR (Not a college)
Gabriel Farfan,4,2008-2010, Club América (Not a college)
Brendan Ruiz,1
Erik Hort,1,, Sparta Prague (Not a college)
Morgan Langley,1
Marcelo Balboa,7,1988-1989, San Diego State Aztecs (College)
Michael Rose,1
Ryan Nelsen,4,1999-2000, Stanford Cardinal (Not a college)
Javier Martina,1,2005-2008, Ajax (Not a college)
Uriah Bentick,1,2009-2012, Liberty Flames (College)
Elie Ikangu,2,2005-2006, Darlington (Not a college)
Stephane Diop,1
Felix Garcia,1
Ibrahim Sekagya,2
Drew Beckie,1,2009-2012, Denver Pioneers (College)
Waylon Francis,2
Yannick Smith,1,2009-2012, Old Dominion Monarchs (College)
Timothy Glowienka,1
Joey Thieman,1,1990-1994, Princeton (College)
Tyler Rudy,1,2011-2014, Georgetown Hoyas (College)
Nick Downing,3,1998-2001, Maryland Terrapins (College)
Oscar Echeverry,2,, Deportivo Cali (Not a college)
Leandre Griffit,2,0000-2002, 0000 (No Wikipedia link)
Tim Weaver,3,1993-1996, San Francisco Dons (College)
Maximiliano  Urruti,3,2005-2011, Newell's Old Boys (Not a college)
Anibal Godoy,1,, Chepo (Not a college)
Matt Watson,4
Hollis Donaldson,1
Kevin Mesa,1
Ambroise Oyongo,2,2008-2010, Moussango FC (No Wikipedia link)
Brian Bates,4
Braeden Cloutier,5,1992-1993, Hamburg SV (Not a college)
Mario Martinez,2
Roberto Linck,1,-, Irvine Valley College (College)
Chris Jahr,1
Sven Holgersson,2
